Title,Description,Labels,List
Project scope and topic finalize,"User Story: As a junior developer, I want to finalize a clear prototype topic so that all later work stays consistent. | Acceptance Criteria: Topic defined and approved; core entities listed; scope fits timeline. | Functionality Notes: Keep MVP small and demo-friendly with full CRUD.","PLANNING;HIGH PRIORITY",To Do
Create API project setup,"User Story: As a developer, I want Node + Express setup so I can build REST endpoints. | Acceptance Criteria: Node 20.10+ compatible; Express installed; start/dev scripts working. | Functionality Notes: Use NPM and enable JSON middleware.","API;HIGH PRIORITY",To Do
Database schema plus seed data,"User Story: As a developer, I want realistic SQLite data so API can persist and return meaningful records. | Acceptance Criteria: Schema created; minimum 20 realistic records seeded; fields support CRUD. | Functionality Notes: Keep ISBN unique and include practical book fields.","DATABASE;HIGH PRIORITY",To Do
Implement GET endpoints,"User Story: As a client user, I want to fetch all records and single records so I can browse data. | Acceptance Criteria: GET all works; GET by id works; JSON response format consistent. | Functionality Notes: Add query filtering/search if available.","API",To Do
Implement POST endpoint,"User Story: As a user, I want to add a new record so data can be added dynamically. | Acceptance Criteria: Required validations; 201 response; duplicate ISBN blocked. | Functionality Notes: Return created object in JSON.","API",To Do
Implement PUT endpoint,"User Story: As a user, I want to update an existing record so data can be corrected. | Acceptance Criteria: Update works for valid id; 404 for missing id; 400 for invalid payload. | Functionality Notes: Support partial updates where appropriate.","API",To Do
Implement DELETE endpoint,"User Story: As a user, I want to remove obsolete records so data stays clean. | Acceptance Criteria: Delete works for valid id; 404 for missing id; JSON confirmation returned. | Functionality Notes: Use HTTP DELETE correctly.","API",To Do
Generate API documentation with APIDOC,"User Story: As a team member, I want endpoint docs so API usage is clear. | Acceptance Criteria: Every endpoint documented; generated APIDOC site created; examples included. | Functionality Notes: Keep docs aligned with actual endpoint behavior.","DOCS;API",To Do
Create low fidelity wireframes,"User Story: As a designer/developer, I want low-fi screens so UI flow is clear before hi-fi design. | Acceptance Criteria: CRUD screens sketched; navigation flow shown; notes for components included. | Functionality Notes: Use simple, readable layouts.","WIREFRAME",To Do
Create high fidelity Figma prototype,"User Story: As a stakeholder, I want an interactive hi-fi prototype so UX can be reviewed before implementation. | Acceptance Criteria: CRUD screens complete; realistic data and imagery; prototype navigation works. | Functionality Notes: Show design mode and prototype mode.","FIGMA;HIGH PRIORITY",To Do
Build client GET integration,"User Story: As an end user, I want to view API data in the client UI so the system is useful. | Acceptance Criteria: Client calls GET endpoint; data displayed clearly; empty/error states handled. | Functionality Notes: Keep local API base URL configurable.","CLIENT;HIGH PRIORITY",To Do
Client UI polish and consistency,"User Story: As an end user, I want a clean interface so data is easy to read. | Acceptance Criteria: Consistent typography/spacing/colors; desktop-friendly layout; basic accessibility improvements. | Functionality Notes: Match Figma output as closely as possible.","CLIENT",To Do
Functional testing for API and client,"User Story: As a developer, I want automated checks so regressions are found early. | Acceptance Criteria: Core tests executed; outputs captured; failures fixed before demo. | Functionality Notes: Use TestCafe or equivalent framework as required.","TEST;HIGH PRIORITY",To Do
Git workflow and branch hygiene,"User Story: As a developer, I want structured branches and commits so progress is traceable. | Acceptance Criteria: Feature branches used; meaningful commit messages; merge history reflects tasks. | Functionality Notes: Link commits/cards where possible.","GIT",To Do
Prepare final screencast,"User Story: As an assessor, I want a clear narrated demo so I can verify the whole solution. | Acceptance Criteria: Webcam plus audio plus screen capture; API/client/tests/Figma shown; design choices explained. | Functionality Notes: Follow intro to demo to test to conclusion flow.","VIDEO;HIGH PRIORITY",To Do
Final QA and submission checklist,"User Story: As a student, I want a complete final check so submission is consistent and complete. | Acceptance Criteria: All artifacts present; Trello board updated; links/videos verified. | Functionality Notes: Ensure in-review checklist is completed before done.","QA;HIGH PRIORITY",To Do
